Vehicle,Type,sales_2011,sales_2012,sales_2013,sales_2014,sales_2015,sales_2016,sales_2017,TOTAL
Audi A3 Plug In,PHEV,,,,,,4280,2877,7157
BMW Active E,EV,,965,,,,,,965
BMW i3,EV,,,,6092,11004,7625,6276,30997
BMW i8,PHEV,,,,555,2265,1594,488,4902
BMW X5,PHEV,,,,,774,5995,5349,12118
BMW 3 Series Plug In,PHEV,,,,,54,851,4141,5046
BMW 5 Series Plug In,PHEV,,,,,,,3759,3759
BMW 7 Series Plug In,PHEV,,,,,,23,707,730
Cadillac CT6,PHEV,,,,,,,205,205
Cadillac ELR,PHEV,,,6,1310,1024,534,17,2891
Chevrolet Bolt,EV,,,,,,579,23297,23876
Chevrolet Spark,EV,,,560,1145,2629,3035,23,7392
Chevrolet Volt,PHEV,7671,23461,23094,18805,15393,24739,20349,133512
Chrysler Pacifica,PHEV,,,,,,,2764,2764
Fiat 500E,EV,,,260,1503,3477,3737,3336,12313
Ford C-MAX Energi,PHEV,,2374,7154,8433,7591,7957,8140,41649
Ford Focus EV,EV,,683,1738,1964,1582,901,1817,8685
Ford Fusion Energi,PHEV,,,6089,11550,9750,15938,9632,52959
Honda Accord,PHEV,,,526,449,63,,,1038
Honda Clarity BEV,EV,,,,,,,1111,1111
Honda Clarity Plug-in,PHEV,,,,,,,898,898
Honda Fit EV,EV,,93,569,407,2,,,1071
Hyundai Sonata Plug-in,PHEV,,,,,,3000,2254,5254
Hyundai Ioniq EV,EV,,,,,,,427,427
Kia Optima Plug-in,PHEV,,,,,,,1542,1542
Kia Soul EV,EV,,,,250,1015,1728,2157,5150
Mercedes B-Class Electric,EV,,,,774,1906,632,744,4056
Mercedes C350We Plug-in Hybrid,PHEV,,,,,,171,810,981
Mercedes GLE 550e Hybrid,PHEV,,,,,,212,430,642
Mercedes S550 Plug In,PHEV,,,,,118,550,583,1251
Mini Cooper Countryman Plug In,PHEV,,,,,,,475,475
Mitsubishi i-MiEV,EV,76,588,1029,196,115,94,6,2104
Nissan LEAF,EV,9674,9819,22610,30200,17269,14006,11230,114808
Porsche Cayenne S E-Hybrid,PHEV,,,,112,1163,2111,1574,4960
Porsche Panamera S E-Hybrid,PHEV,,,51,879,407,393,18,1748
Smart ED,EV,310,2,,,,,,312
Smart for Two EV,EV,,137,923,2594,1387,657,543,6241
Tesla Model 3,EV,,,,,,,1770,1770
Tesla Model S,EV,,2171,19000,16750,26200,30200,26500,120821
Tesla Model X,EV,,,,,208,19600,21700,41508
Toyota Prius Prime,PHEV,,12749,12088,13264,4191,2474,20936,65702
Toyota RAV4 EV,EV,,192,1005,1184,18,,,2399
Volvo S90 Plug In ,PHEV,,,,,,,112,112
Volvo XC60,PHEV,,,,,,,518,518
Volvo XC90,PHEV,,,,,86,2015,2196,4297
VW e-Golf,EV,,,,357,4232,3937,3534,12060
,,,,,,,,,